"productkey","productcode","productname","manufacturer","brand","color","weightunit","weight","cost","price","categorykey","categoryname","subcategorykey","subcategoryname"
1,101001,"Contoso 512MB MP3 Player E51 Silver","Contoso, Ltd","Contoso","Silver","ounces","4.8","6.62","12.99",1,"Audio",101,"MP4&MP3"
2,101002,"Contoso 512MB MP3 Player E51 Blue","Contoso, Ltd","Contoso","Blue","ounces","4.1","6.62","12.99",1,"Audio",101,"MP4&MP3"
3,101003,"Contoso 1G MP3 Player E100 White","Contoso, Ltd","Contoso","White","ounces","4.5","7.4","14.52",1,"Audio",101,"MP4&MP3"
4,101004,"Contoso 2G MP3 Player E200 Silver","Contoso, Ltd","Contoso","Silver","ounces","4.5","11","21.57",1,"Audio",101,"MP4&MP3"
5,101005,"Contoso 2G MP3 Player E200 Red","Contoso, Ltd","Contoso","Red","ounces","2.4","11","21.57",1,"Audio",101,"MP4&MP3"
6,101006,"Contoso 2G MP3 Player E200 Black","Contoso, Ltd","Contoso","Black","ounces","8.8","11","21.57",1,"Audio",101,"MP4&MP3"
7,101007,"Contoso 2G MP3 Player E200 Blue","Contoso, Ltd","Contoso","Blue","ounces","2.1","11","21.57",1,"Audio",101,"MP4&MP3"
8,101008,"Contoso 4G MP3 Player E400 Silver","Contoso, Ltd","Contoso","Silver","ounces","5.6","30.58","59.99",1,"Audio",101,"MP4&MP3"
9,101009,"Contoso 4G MP3 Player E400 Black","Contoso, Ltd","Contoso","Black","ounces","2.1","30.58","59.99",1,"Audio",101,"MP4&MP3"
10,101010,"Contoso 4G MP3 Player E400 Green","Contoso, Ltd","Contoso","Green","ounces","11","30.58","59.99",1,"Audio",101,"MP4&MP3"
11,101011,"Contoso 4G MP3 Player E400 Orange","Contoso, Ltd","Contoso","Orange","ounces","14.1","30.58","59.99",1,"Audio",101,"MP4&MP3"
12,101012,"Contoso 4GB Flash MP3 Player E401 Blue","Contoso, Ltd","Contoso","Blue","ounces","7.4","35.72","77.68",1,"Audio",101,"MP4&MP3"
13,101013,"Contoso 4GB Flash MP3 Player E401 Black","Contoso, Ltd","Contoso","Black","ounces","2.6","35.72","77.68",1,"Audio",101,"MP4&MP3"
14,101014,"Contoso 4GB Flash MP3 Player E401 Silver","Contoso, Ltd","Contoso","Silver","ounces","8","35.72","77.68",1,"Audio",101,"MP4&MP3"
15,101015,"Contoso 4GB Flash MP3 Player E401 White","Contoso, Ltd","Contoso","White","ounces","2.1","35.72","77.68",1,"Audio",101,"MP4&MP3"
16,101016,"Contoso 8GB Super-Slim MP3/Video Player M800 White","Contoso, Ltd","Contoso","White","ounces","11","50.56","109.95",1,"Audio",101,"MP4&MP3"
17,101017,"Contoso 8GB Super-Slim MP3/Video Player M800 Red","Contoso, Ltd","Contoso","Red","ounces","11","50.56","109.95",1,"Audio",101,"MP4&MP3"
18,101018,"Contoso 8GB Super-Slim MP3/Video Player M800 Green","Contoso, Ltd","Contoso","Green","ounces","2.1","50.56","109.95",1,"Audio",101,"MP4&MP3"
19,101019,"Contoso 8GB Super-Slim MP3/Video Player M800 Pink","Contoso, Ltd","Contoso","Pink","ounces","5.9","50.56","109.95",1,"Audio",101,"MP4&MP3"
20,101020,"Contoso 8GB MP3 Player new model M820 Black","Contoso, Ltd","Contoso","Black","pounds","1","61.62","134",1,"Audio",101,"MP4&MP3"
21,101021,"Contoso 8GB MP3 Player new model M820 Blue","Contoso, Ltd","Contoso","Blue","ounces","10.6","61.62","134",1,"Audio",101,"MP4&MP3"
22,101022,"Contoso 8GB MP3 Player new model M820 Yellow","Contoso, Ltd","Contoso","Yellow","ounces","1","61.62","134",1,"Audio",101,"MP4&MP3"
23,101023,"Contoso 8GB MP3 Player new model M820 White","Contoso, Ltd","Contoso","White","ounces","2.6","61.62","134",1,"Audio",101,"MP4&MP3"
24,101024,"Contoso 16GB Mp5 Player M1600 Blue","Contoso, Ltd","Contoso","Blue","ounces","11","91.93","199.9",1,"Audio",101,"MP4&MP3"
25,101025,"Contoso 16GB Mp5 Player M1600 Black","Contoso, Ltd","Contoso","Black","ounces","5.9","91.93","199.9",1,"Audio",101,"MP4&MP3"
26,101026,"Contoso 16GB Mp5 Player M1600 Green","Contoso, Ltd","Contoso","Green","ounces","14.1","91.93","199.9",1,"Audio",101,"MP4&MP3"
27,101027,"Contoso 16GB Mp5 Player M1600 White","Contoso, Ltd","Contoso","White","ounces","8","91.93","199.9",1,"Audio",101,"MP4&MP3"
28,101028,"Contoso 16GB Mp5 Player M1600 Red","Contoso, Ltd","Contoso","Red","ounces","2","91.93","199.9",1,"Audio",101,"MP4&MP3"
29,101029,"Contoso 32GB Video MP3 Player M3200 White","Contoso, Ltd","Contoso","White","pounds","1.2","84.49","255",1,"Audio",101,"MP4&MP3"
30,101030,"Contoso 32GB Video MP3 Player M3200 Red","Contoso, Ltd","Contoso","Red","ounces","2.1","84.49","255",1,"Audio",101,"MP4&MP3"
31,101031,"Contoso 32GB Video MP3 Player M3200 Orange","Contoso, Ltd","Contoso","Orange","pounds","1.2","84.49","255",1,"Audio",101,"MP4&MP3"
32,101032,"Contoso 32GB Video MP3 Player M3200 Pink","Contoso, Ltd","Contoso","Pink","ounces","8.8","84.49","255",1,"Audio",101,"MP4&MP3"
33,101033,"Contoso 32GB Video MP3 Player M3200 Black","Contoso, Ltd","Contoso","Black","ounces","10.1","84.49","255",1,"Audio",101,"MP4&MP3"
34,101034,"Contoso 4GB Portable MP3 Player M450 Black","Contoso, Ltd","Contoso","Black","ounces","0.55","48.92","95.95",1,"Audio",101,"MP4&MP3"
35,101035,"Contoso 4GB Portable MP3 Player M450 White","Contoso, Ltd","Contoso","White","ounces","2.4","48.92","95.95",1,"Audio",101,"MP4&MP3"
36,101036,"Contoso 4GB Portable MP3 Player M450 Yellow","Contoso, Ltd","Contoso","Yellow","pounds","2.9","48.92","95.95",1,"Audio",101,"MP4&MP3"
37,101037,"Contoso 8GB Clock & Radio MP3 Player X850 Silver","Contoso, Ltd","Contoso","Silver","ounces","1.6","99.14","299.23",1,"Audio",101,"MP4&MP3"
38,101038,"Contoso 8GB Clock & Radio MP3 Player X850 Black","Contoso, Ltd","Contoso","Black","pounds","2","99.14","299.23",1,"Audio",101,"MP4&MP3"
39,101039,"Contoso 8GB Clock & Radio MP3 Player X850 Green","Contoso, Ltd","Contoso","Green","ounces","6.4","99.14","299.23",1,"Audio",101,"MP4&MP3"
40,101040,"Contoso 8GB Clock & Radio MP3 Player X850 Blue","Contoso, Ltd","Contoso","Blue","ounces","5","99.14","299.23",1,"Audio",101,"MP4&MP3"
41,101041,"Contoso 16GB New Generation MP5 Player M1650 Silver","Contoso, Ltd","Contoso","Silver","ounces","8","106.69","232",1,"Audio",101,"MP4&MP3"
42,101042,"Contoso 16GB New Generation MP5 Player M1650 White","Contoso, Ltd","Contoso","White","ounces","12","106.69","232",1,"Audio",101,"MP4&MP3"
43,101043,"Contoso 16GB New Generation MP5 Player M1650 Black","Contoso, Ltd","Contoso","Black","ounces","14.1","106.69","232",1,"Audio",101,"MP4&MP3"
44,101044,"Contoso 16GB New Generation MP5 Player M1650 blue","Contoso, Ltd","Contoso","blue","pounds","1","106.69","232",1,"Audio",101,"MP4&MP3"
45,101045,"Contoso 16GB New Generation MP5 Player M1650 Pink","Contoso, Ltd","Contoso","Pink","ounces","5","106.69","232",1,"Audio",101,"MP4&MP3"
46,104001,"WWI 1GB Pulse Smart pen E50 White","Wide World Importers","Wide World Importers","White","ounces","1.3","76.45","149.95",1,"Audio",104,"Recording Pen"
47,104002,"WWI 1GBPulse Smart pen E50 Black","Wide World Importers","Wide World Importers","Black","ounces","2.2","76.45","149.95",1,"Audio",104,"Recording Pen"
48,104003,"WWI 1GB Pulse Smart pen E50 Silver","Wide World Importers","Wide World Importers","Silver","grams","30","76.45","149.95",1,"Audio",104,"Recording Pen"
49,104004,"WWI 2GB Pulse Smart pen M100 White","Wide World Importers","Wide World Importers","White","grams","30","91.95","199.95",1,"Audio",104,"Recording Pen"
50,104005,"WWI 2GB Pulse Smart pen M100 Black","Wide World Importers","Wide World Importers","Black","ounces","2.2","91.95","199.95",1,"Audio",104,"Recording Pen"
51,104006,"WWI 2GB Pulse Smart pen M100 Blue","Wide World Importers","Wide World Importers","Blue","ounces","1.3","91.95","199.95",1,"Audio",104,"Recording Pen"
52,104007,"WWI 2GB Pulse Smart pen M100 Silver","Wide World Importers","Wide World Importers","Silver","ounces","2.2","91.95","199.95",1,"Audio",104,"Recording Pen"
53,104008,"WWI 4GB Video Recording Pen X200 Black","Wide World Importers","Wide World Importers","Black","grams","30","98.07","296",1,"Audio",104,"Recording Pen"
54,104009,"WWI 4GB Video Recording Pen X200 Red","Wide World Importers","Wide World Importers","Red","grams","30","98.07","296",1,"Audio",104,"Recording Pen"
55,104010,"WWI 4GB Video Recording Pen X200 Pink","Wide World Importers","Wide World Importers","Pink","ounces","2.2","98.07","296",1,"Audio",104,"Recording Pen"
56,104011,"WWI 4GB Video Recording Pen X200 Yellow","Wide World Importers","Wide World Importers","Yellow","ounces","1.3","98.07","296",1,"Audio",104,"Recording Pen"
57,104012,"WWI 1GB Digital Voice Recorder Pen E100 Black","Wide World Importers","Wide World Importers","Black","grams","30","79.53","156",1,"Audio",104,"Recording Pen"
58,104013,"WWI 1GB Digital Voice Recorder Pen E100 Red","Wide World Importers","Wide World Importers","Red","ounces","1.3","79.53","156",1,"Audio",104,"Recording Pen"
59,104014,"WWI 1GB Digital Voice Recorder Pen E100 Pink","Wide World Importers","Wide World Importers","Pink","ounces","2.2","79.53","156",1,"Audio",104,"Recording Pen"
60,104015,"WWI 1GB Digital Voice Recorder Pen E100 White","Wide World Importers","Wide World Importers","White","grams","30","79.53","156",1,"Audio",104,"Recording Pen"
61,104016,"WWI 2GB Spy Video Recorder Pen M300 Black","Wide World Importers","Wide World Importers","Black","grams","30","83.24","181",1,"Audio",104,"Recording Pen"
62,104017,"WWI 2GB Spy Video Recorder Pen M300 White","Wide World Importers","Wide World Importers","White","ounces","2.2","83.24","181",1,"Audio",104,"Recording Pen"
63,104018,"WWI 2GB Spy Video Recorder Pen M300 Blue","Wide World Importers","Wide World Importers","Blue","ounces","1.3","83.24","181",1,"Audio",104,"Recording Pen"
64,104019,"WWI 2GB Spy Video Recorder Pen M300 Silver","Wide World Importers","Wide World Importers","Silver","ounces","2.2","83.24","181",1,"Audio",104,"Recording Pen"
65,104020,"WWI 2GB Spy Video Recorder Pen M300 Purple","Wide World Importers","Wide World Importers","Purple","grams","30","83.24","181",1,"Audio",104,"Recording Pen"
66,106001,"NT Bluetooth Stereo Headphones E52 Blue","Northwind Traders","Northwind Traders","Blue","ounces","1.1","13.1","25.69",1,"Audio",106,"Bluetooth Headphones"
67,106002,"NT Bluetooth Stereo Headphones E52 Black","Northwind Traders","Northwind Traders","Black","ounces","6.6","13.1","25.69",1,"Audio",106,"Bluetooth Headphones"
68,106003,"NT Bluetooth Stereo Headphones E52 Yellow","Northwind Traders","Northwind Traders","Yellow","ounces","1.6","13.1","25.69",1,"Audio",106,"Bluetooth Headphones"
69,106004,"NT Bluetooth Stereo Headphones E52 Pink","Northwind Traders","Northwind Traders","Pink","ounces","6.6","13.1","25.69",1,"Audio",106,"Bluetooth Headphones"
70,106005,"NT Wireless Bluetooth Stereo Headphones E102 Silver","Northwind Traders","Northwind Traders","Silver","ounces","9.6","22.05","47.95",1,"Audio",106,"Bluetooth Headphones"
71,106006,"NT Wireless Bluetooth Stereo Headphones E102 Black","Northwind Traders","Northwind Traders","Black","pounds","2.1","22.05","47.95",1,"Audio",106,"Bluetooth Headphones"
72,106007,"NT Wireless Bluetooth Stereo Headphones E102 Blue","Northwind Traders","Northwind Traders","Blue","pounds","2.1","22.05","47.95",1,"Audio",106,"Bluetooth Headphones"
73,106008,"NT Wireless Bluetooth Stereo Headphones E102 White","Northwind Traders","Northwind Traders","White","pounds","1.2","22.05","47.95",1,"Audio",106,"Bluetooth Headphones"
74,106009,"NT Bluetooth Active Headphones E202 Black","Northwind Traders","Northwind Traders","Black","pounds","1.5","17.45","37.95",1,"Audio",106,"Bluetooth Headphones"
75,106010,"NT Bluetooth Active Headphones E202 White","Northwind Traders","Northwind Traders","White","ounces","11.4","17.45","37.95",1,"Audio",106,"Bluetooth Headphones"
76,106011,"NT Bluetooth Active Headphones E202 Red","Northwind Traders","Northwind Traders","Red","pounds","1","17.45","37.95",1,"Audio",106,"Bluetooth Headphones"
77,106012,"NT Bluetooth Active Headphones E202 Silver","Northwind Traders","Northwind Traders","Silver","grams","29","17.45","37.95",1,"Audio",106,"Bluetooth Headphones"
78,106013,"NT Wireless Bluetooth Stereo Headphones E302 Silver","Northwind Traders","Northwind Traders","Silver","pounds","1.5","18.65","40.55",1,"Audio",106,"Bluetooth Headphones"
79,106014,"NT Wireless Bluetooth Stereo Headphones E302 White","Northwind Traders","Northwind Traders","White","pounds","1","18.65","40.55",1,"Audio",106,"Bluetooth Headphones"
80,106015,"NT Wireless Bluetooth Stereo Headphones E302 Yellow","Northwind Traders","Northwind Traders","Yellow","ounces","9.6","18.65","40.55",1,"Audio",106,"Bluetooth Headphones"
81,106016,"NT Wireless Bluetooth Stereo Headphones E302 Black","Northwind Traders","Northwind Traders","Black","grams","29","18.65","40.55",1,"Audio",106,"Bluetooth Headphones"
82,106017,"NT Wireless Bluetooth Stereo Headphones E302 Pink","Northwind Traders","Northwind Traders","Pink","pounds","1","18.65","40.55",1,"Audio",106,"Bluetooth Headphones"
83,106018,"NT Wireless Bluetooth Stereo Headphones M402 Silver","Northwind Traders","Northwind Traders","Silver","pounds","3","45.98","99.99",1,"Audio",106,"Bluetooth Headphones"
84,106019,"NT Wireless Bluetooth Stereo Headphones M402 Red","Northwind Traders","Northwind Traders","Red","pounds","1.2","45.98","99.99",1,"Audio",106,"Bluetooth Headphones"
85,106020,"NT Wireless Bluetooth Stereo Headphones M402 Green","Northwind Traders","Northwind Traders","Green","pounds","3","45.98","99.99",1,"Audio",106,"Bluetooth Headphones"
86,106021,"NT Wireless Bluetooth Stereo Headphones M402 Black","Northwind Traders","Northwind Traders","Black","pounds","3","45.98","99.99",1,"Audio",106,"Bluetooth Headphones"
87,106022,"NT Wireless Bluetooth Stereo Headphones M402 Purple","Northwind Traders","Northwind Traders","Purple","ounces","1.3","45.98","99.99",1,"Audio",106,"Bluetooth Headphones"
88,106023,"NT Wireless Transmitter and Bluetooth Headphones M150 Black","Northwind Traders","Northwind Traders","Black","ounces","10.4","49.69","149.99",1,"Audio",106,"Bluetooth Headphones"
89,106024,"NT Wireless Transmitter and Bluetooth Headphones M150 Blue","Northwind Traders","Northwind Traders","Blue","ounces","5.6","49.69","149.99",1,"Audio",106,"Bluetooth Headphones"
90,106025,"NT Wireless Transmitter and Bluetooth Headphones M150 Silver","Northwind Traders","Northwind Traders","Silver","pounds","1","49.69","149.99",1,"Audio",106,"Bluetooth Headphones"
91,106026,"NT Wireless Transmitter and Bluetooth Headphones M150 Green","Northwind Traders","Northwind Traders","Green","ounces","8","49.69","149.99",1,"Audio",106,"Bluetooth Headphones"
